fir_number,account_id,bank,number_masked,holder_person_id,is_synthetic
FIR-2025-DHA-0185,AC0002,Canara,XX5708,P0082,True
FIR-2025-KOL-0187,AC0015,SBI,XX7267,P0044,True
FIR-2025-KAL-0190,AC0019,HDFC,XX8529,P0039,True
FIR-2024-TUM-0192,AC0030,Union,XX6881,P0020,True
FIR-2024-TUM-0192,AC0004,Axis,XX2612,P0020,True
FIR-2025-DAK-0195,AC0012,Union,XX7751,P0311,True
FIR-2025-DAK-0195,AC0040,Canara,XX2591,P0311,True
FIR-2025-BEN-0196,AC0034,SBI,XX1803,P0015,True
FIR-2025-BEN-0196,AC0045,HDFC,XX6352,P0015,True
FIR-2025-BAG-0199,AC0003,Canara,XX2480,P0041,True
FIR-2025-BAG-0199,AC0036,HDFC,XX4770,P0041,True
FIR-2024-RAI-0201,AC0054,SBI,XX3306,P0175,True
FIR-2024-RAI-0201,AC0041,SBI,XX6061,P0175,True
FIR-2025-KOL-0204,AC0047,Canara,XX3165,P0080,True
FIR-2024-DHA-0212,AC0003,Canara,XX2480,P0021,True
FIR-2024-BAL-0215,AC0002,Canara,XX5708,P0049,True
FIR-2024-BAL-0215,AC0059,Union,XX3024,P0049,True
FIR-2025-BEL-0227,AC0047,Canara,XX3165,P0239,True
FIR-2025-BEL-0227,AC0057,SBI,XX7464,P0239,True
FIR-2025-MYS-0230,AC0003,Canara,XX2480,P0009,True
FIR-2025-UDU-0231,AC0053,SBI,XX8673,P0073,True
FIR-2025-UDU-0231,AC0056,Union,XX6992,P0073,True
FIR-2025-KAL-0232,AC0027,Canara,XX7302,P0072,True
FIR-2024-CHI-0233,AC0011,Canara,XX5000,P0032,True
FIR-2024-BAL-0235,AC0039,Union,XX5106,P0128,True
FIR-2024-BAL-0235,AC0038,Canara,XX4115,P0128,True
FIR-2024-DAV-0238,AC0034,SBI,XX1803,P0037,True
FIR-2025-CHI-0247,AC0005,SBI,XX8269,P0157,True
FIR-2025-CHI-0247,AC0025,Axis,XX5097,P0157,True
FIR-2024-RAI-0249,AC0014,Canara,XX3868,P0028,True
FIR-2024-RAI-0249,AC0015,SBI,XX7267,P0028,True
FIR-2025-HAS-0251,AC0034,SBI,XX1803,P0063,True
FIR-2025-RAI-0252,AC0044,Canara,XX2476,P0249,True
FIR-2024-KAL-0255,AC0004,Axis,XX2612,P0023,True
FIR-2025-SHI-0258,AC0011,Canara,XX5000,P0253,True
FIR-2024-SHI-0259,AC0047,Canara,XX3165,P0035,True
FIR-2025-KAL-0262,AC0009,HDFC,XX6873,P0004,True
FIR-2025-KAL-0262,AC0045,HDFC,XX6352,P0004,True
FIR-2024-MAN-0264,AC0039,Union,XX5106,P0045,True
FIR-2024-MAN-0264,AC0015,SBI,XX7267,P0045,True
FIR-2024-RAI-0269,AC0050,HDFC,XX3695,P0227,True
FIR-2024-RAI-0269,AC0029,Canara,XX7248,P0227,True
FIR-2024-BEN-0272,AC0024,HDFC,XX5901,P0016,True
FIR-2025-BAG-0275,AC0019,HDFC,XX8529,P0025,True
FIR-2025-BAG-0275,AC0053,SBI,XX8673,P0025,True
FIR-2025-HAS-0278,AC0007,SBI,XX1753,P0006,True
FIR-2024-BEL-0279,AC0060,Axis,XX7038,P0145,True
FIR-2024-KAL-0286,AC0047,Canara,XX3165,P0030,True
FIR-2025-KOL-0290,AC0017,Axis,XX3344,P0211,True
FIR-2025-KOL-0290,AC0006,Canara,XX5906,P0211,True
FIR-2025-DHA-0291,AC0005,SBI,XX8269,P0095,True
FIR-2024-UDU-0297,AC0003,Canara,XX2480,P0252,True
FIR-2024-RAI-0299,AC0028,Axis,XX2747,P0018,True
FIR-2024-CHI-0304,AC0015,SBI,XX7267,P0173,True
FIR-2025-CHI-0306,AC0029,Canara,XX7248,P0055,True
FIR-2024-BAL-0307,AC0026,Axis,XX5949,P0094,True
FIR-2024-BAL-0307,AC0057,SBI,XX7464,P0094,True
FIR-2025-BAG-0313,AC0003,Canara,XX2480,P0032,True
FIR-2025-BAG-0313,AC0010,HDFC,XX8056,P0032,True
FIR-2025-TUM-0316,AC0007,SBI,XX1753,P0164,True
FIR-2025-MYS-0321,AC0037,Union,XX6772,P0265,True
FIR-2025-MYS-0321,AC0047,Canara,XX3165,P0265,True
FIR-2024-KAL-0322,AC0039,Union,XX5106,P0312,True
FIR-2025-SHI-0325,AC0025,Axis,XX5097,P0229,True
FIR-2025-SHI-0325,AC0046,Axis,XX3877,P0229,True
FIR-2025-KAL-0330,AC0026,Axis,XX5949,P0013,True
FIR-2025-KAL-0330,AC0012,Union,XX7751,P0013,True
FIR-2024-BEN-0331,AC0026,Axis,XX5949,P0062,True
FIR-2025-TUM-0333,AC0008,HDFC,XX1919,P0210,True
FIR-2025-TUM-0333,AC0038,Canara,XX4115,P0210,True
FIR-2025-DHA-0340,AC0055,Canara,XX7511,P0091,True
FIR-2025-DHA-0340,AC0047,Canara,XX3165,P0091,True
FIR-2025-TUM-0342,AC0031,Union,XX5847,P0159,True
FIR-2025-CHI-0343,AC0037,Union,XX6772,P0038,True
FIR-2025-BAL-0346,AC0011,Canara,XX5000,P0027,True
FIR-2025-CHI-0347,AC0019,HDFC,XX8529,P0049,True
FIR-2025-HAS-0348,AC0042,Axis,XX1546,P0298,True
FIR-2025-HAS-0348,AC0038,Canara,XX4115,P0298,True
FIR-2025-BAL-0349,AC0001,SBI,XX2121,P0162,True
FIR-2024-KOL-0350,AC0039,Union,XX5106,P0029,True
FIR-2024-TUM-0356,AC0045,HDFC,XX6352,P0011,True
FIR-2024-TUM-0356,AC0025,Axis,XX5097,P0011,True
FIR-2025-TUM-0358,AC0008,HDFC,XX1919,P0303,True
FIR-2025-TUM-0358,AC0014,Canara,XX3868,P0303,True
FIR-2025-BEN-0365,AC0004,Axis,XX2612,P0125,True
FIR-2025-BEN-0365,AC0013,Union,XX3950,P0125,True
FIR-2024-DHA-0368,AC0025,Axis,XX5097,P0010,True
FIR-2024-VIJ-0369,AC0027,Canara,XX7302,P0043,True
FIR-2024-VIJ-0369,AC0011,Canara,XX5000,P0043,True
FIR-2025-DAK-0370,AC0048,Union,XX6994,P0250,True
FIR-2025-DAK-0370,AC0056,Union,XX6992,P0250,True
FIR-2025-BAL-0372,AC0016,Union,XX4945,P0163,True
FIR-2025-BAL-0372,AC0042,Axis,XX1546,P0163,True
FIR-2024-MAN-0377,AC0006,Canara,XX5906,P0061,True
FIR-2024-SHI-0378,AC0031,Union,XX5847,P0064,True
FIR-2025-BAG-0379,AC0038,Canara,XX4115,P0003,True
FIR-2025-BAG-0379,AC0043,Union,XX6977,P0003,True
FIR-2025-KAL-0387,AC0052,HDFC,XX6549,P0002,True
FIR-2025-KAL-0387,AC0029,Canara,XX7248,P0002,True
FIR-2025-BAL-0391,AC0041,SBI,XX6061,P0064,True
FIR-2025-BAL-0391,AC0044,Canara,XX2476,P0064,True
FIR-2025-BEL-0392,AC0023,SBI,XX8237,P0241,True
FIR-2024-VIJ-0398,AC0059,Union,XX3024,P0008,True
FIR-2025-VIJ-0402,AC0021,Axis,XX5712,P0016,True
FIR-2024-UDU-0403,AC0055,Canara,XX7511,P0160,True
FIR-2024-UDU-0403,AC0028,Axis,XX2747,P0160,True
FIR-2025-BEL-0405,AC0023,SBI,XX8237,P0044,True
FIR-2025-BEL-0405,AC0031,Union,XX5847,P0044,True
FIR-2025-HAS-0409,AC0049,Union,XX9221,P0005,True
FIR-2025-HAS-0409,AC0008,HDFC,XX1919,P0005,True
FIR-2025-MAN-0412,AC0003,Canara,XX2480,P0031,True
FIR-2025-MAN-0412,AC0030,Union,XX6881,P0031,True
FIR-2025-KOL-0413,AC0045,HDFC,XX6352,P0061,True
FIR-2025-BAL-0424,AC0035,Union,XX9138,P0023,True
FIR-2025-BAL-0424,AC0024,HDFC,XX5901,P0023,True
FIR-2024-MYS-0426,AC0020,HDFC,XX1153,P0033,True
FIR-2024-MYS-0426,AC0006,Canara,XX5906,P0033,True
FIR-2025-DHA-0428,AC0030,Union,XX6881,P0231,True
FIR-2025-DHA-0428,AC0045,HDFC,XX6352,P0231,True
FIR-2024-BEN-0435,AC0009,HDFC,XX6873,P0125,True
FIR-2024-BEN-0435,AC0056,Union,XX6992,P0125,True
FIR-2025-VIJ-0436,AC0001,SBI,XX2121,P0010,True
FIR-2025-KAL-0441,AC0027,Canara,XX7302,P0253,True
FIR-2025-DHA-0447,AC0019,HDFC,XX8529,P0307,True
FIR-2025-TUM-0448,AC0037,Union,XX6772,P0159,True
FIR-2025-TUM-0448,AC0004,Axis,XX2612,P0159,True
FIR-2025-MAN-0458,AC0012,Union,XX7751,P0127,True
FIR-2024-VIJ-0463,AC0046,Axis,XX3877,P0032,True
FIR-2024-VIJ-0463,AC0049,Union,XX9221,P0032,True
FIR-2025-BAL-0464,AC0050,HDFC,XX3695,P0054,True
FIR-2025-VIJ-0467,AC0047,Canara,XX3165,P0206,True
FIR-2025-VIJ-0467,AC0048,Union,XX6994,P0206,True
FIR-2024-BEL-0470,AC0007,SBI,XX1753,P0044,True
FIR-2025-BAG-0471,AC0005,SBI,XX8269,P0233,True
FIR-2025-BAG-0471,AC0024,HDFC,XX5901,P0233,True
FIR-2025-BAG-0473,AC0059,Union,XX3024,P0164,True
FIR-2025-BAG-0473,AC0008,HDFC,XX1919,P0164,True
FIR-2025-CHI-0476,AC0052,HDFC,XX6549,P0198,True
FIR-2025-DAK-0480,AC0017,Axis,XX3344,P0049,True
FIR-2025-DHA-0483,AC0049,Union,XX9221,P0133,True
FIR-2025-RAI-0485,AC0018,Canara,XX8555,P0301,True
FIR-2025-RAI-0485,AC0039,Union,XX5106,P0301,True
FIR-2024-DAV-0492,AC0036,HDFC,XX4770,P0001,True
FIR-2024-UDU-0496,AC0020,HDFC,XX1153,P0316,True
FIR-2024-UDU-0496,AC0005,SBI,XX8269,P0316,True
FIR-2024-DHA-0500,AC0042,Axis,XX1546,P0128,True
FIR-2024-DHA-0500,AC0044,Canara,XX2476,P0128,True
FIR-2025-HAS-0505,AC0040,Canara,XX2591,P0064,True
FIR-2025-HAS-0505,AC0014,Canara,XX3868,P0064,True
FIR-2024-MAN-0515,AC0002,Canara,XX5708,P0071,True
FIR-2024-MAN-0515,AC0012,Union,XX7751,P0071,True
FIR-2024-DAV-0516,AC0024,HDFC,XX5901,P0038,True
FIR-2024-BAL-0519,AC0055,Canara,XX7511,P0109,True
FIR-2024-BAL-0519,AC0013,Union,XX3950,P0109,True
FIR-2025-DHA-0520,AC0015,SBI,XX7267,P0004,True
FIR-2025-DHA-0520,AC0027,Canara,XX7302,P0004,True
FIR-2025-UDU-0521,AC0014,Canara,XX3868,P0099,True
FIR-2025-UDU-0521,AC0026,Axis,XX5949,P0099,True
FIR-2025-MYS-0528,AC0027,Canara,XX7302,P0036,True
FIR-2025-MYS-0528,AC0049,Union,XX9221,P0036,True
FIR-2024-TUM-0530,AC0021,Axis,XX5712,P0247,True
FIR-2025-BAG-0531,AC0054,SBI,XX3306,P0174,True
FIR-2024-CHI-0537,AC0012,Union,XX7751,P0022,True
FIR-2024-CHI-0537,AC0041,SBI,XX6061,P0022,True
FIR-2025-HAS-0538,AC0002,Canara,XX5708,P0049,True
FIR-2024-MYS-0540,AC0052,HDFC,XX6549,P0193,True
FIR-2024-SHI-0544,AC0010,HDFC,XX8056,P0033,True
FIR-2024-BEL-0546,AC0048,Union,XX6994,P0025,True
FIR-2024-BEL-0546,AC0016,Union,XX4945,P0025,True
FIR-2025-DHA-0551,AC0013,Union,XX3950,P0023,True
FIR-2025-UDU-0555,AC0002,Canara,XX5708,P0256,True
FIR-2024-VIJ-0558,AC0020,HDFC,XX1153,P0210,True
FIR-2025-RAI-0562,AC0009,HDFC,XX6873,P0034,True
FIR-2025-RAI-0562,AC0055,Canara,XX7511,P0034,True
FIR-2025-BEN-0563,AC0007,SBI,XX1753,P0242,True
FIR-2024-RAI-0564,AC0020,HDFC,XX1153,P0237,True
FIR-2024-RAI-0564,AC0033,Axis,XX5497,P0237,True
FIR-2024-KOL-0567,AC0030,Union,XX6881,P0247,True
FIR-2024-KOL-0567,AC0042,Axis,XX1546,P0247,True
FIR-2024-BAG-0571,AC0045,HDFC,XX6352,P0137,True
FIR-2024-BAG-0571,AC0048,Union,XX6994,P0137,True
FIR-2024-BAG-0583,AC0055,Canara,XX7511,P0036,True
FIR-2024-BAG-0583,AC0006,Canara,XX5906,P0036,True
FIR-2025-KOL-0585,AC0011,Canara,XX5000,P0275,True
FIR-2025-KOL-0585,AC0044,Canara,XX2476,P0275,True
FIR-2025-CHI-0588,AC0007,SBI,XX1753,P0043,True
FIR-2025-VIJ-0589,AC0031,Union,XX5847,P0053,True
FIR-2025-SHI-0590,AC0048,Union,XX6994,P0083,True
FIR-2025-SHI-0590,AC0028,Axis,XX2747,P0083,True
FIR-2024-CHI-0602,AC0051,HDFC,XX8894,P0213,True
FIR-2024-BEN-0607,AC0021,Axis,XX5712,P0033,True
FIR-2024-MAN-0614,AC0015,SBI,XX7267,P0160,True
FIR-2024-CHI-0618,AC0045,HDFC,XX6352,P0019,True
FIR-2024-CHI-0618,AC0027,Canara,XX7302,P0019,True
FIR-2024-KAL-0621,AC0024,HDFC,XX5901,P0191,True
FIR-2024-KAL-0621,AC0004,Axis,XX2612,P0191,True
FIR-2024-KOL-0629,AC0044,Canara,XX2476,P0004,True
FIR-2024-TUM-0630,AC0040,Canara,XX2591,P0202,True
FIR-2024-TUM-0630,AC0055,Canara,XX7511,P0202,True
FIR-2024-UDU-0631,AC0032,HDFC,XX1359,P0299,True
FIR-2025-RAI-0635,AC0005,SBI,XX8269,P0183,True
FIR-2025-RAI-0635,AC0021,Axis,XX5712,P0183,True
FIR-2025-CHI-0636,AC0037,Union,XX6772,P0088,True
FIR-2025-CHI-0636,AC0003,Canara,XX2480,P0088,True
FIR-2024-MAN-0639,AC0047,Canara,XX3165,P0303,True
FIR-2025-BEN-0643,AC0034,SBI,XX1803,P0167,True
FIR-2025-BEN-0643,AC0049,Union,XX9221,P0167,True
FIR-2025-DAK-0644,AC0052,HDFC,XX6549,P0037,True
FIR-2025-DAK-0648,AC0041,SBI,XX6061,P0025,True
FIR-2024-UDU-0649,AC0054,SBI,XX3306,P0030,True
FIR-2024-UDU-0649,AC0049,Union,XX9221,P0030,True
FIR-2025-UDU-0658,AC0033,Axis,XX5497,P0048,True
FIR-2024-MAN-0660,AC0030,Union,XX6881,P0019,True
FIR-2024-HAS-0662,AC0037,Union,XX6772,P0006,True
FIR-2025-CHI-0664,AC0040,Canara,XX2591,P0179,True
FIR-2025-CHI-0664,AC0004,Axis,XX2612,P0179,True
FIR-2024-BAG-0665,AC0053,SBI,XX8673,P0240,True
FIR-2024-HAS-0669,AC0005,SBI,XX8269,P0046,True
FIR-2024-VIJ-0670,AC0042,Axis,XX1546,P0228,True
FIR-2024-VIJ-0670,AC0010,HDFC,XX8056,P0228,True
FIR-2024-MYS-0680,AC0007,SBI,XX1753,P0236,True
FIR-2025-BEL-0683,AC0026,Axis,XX5949,P0314,True
FIR-2025-BEL-0683,AC0038,Canara,XX4115,P0314,True
FIR-2024-SHI-0684,AC0030,Union,XX6881,P0016,True
FIR-2025-BAG-0692,AC0045,HDFC,XX6352,P0233,True
FIR-2025-BAG-0692,AC0022,Union,XX3588,P0233,True
FIR-2024-BEN-0698,AC0018,Canara,XX8555,P0050,True
FIR-2024-BEN-0698,AC0001,SBI,XX2121,P0050,True
FIR-2024-CHI-0700,AC0005,SBI,XX8269,P0146,True
FIR-2024-CHI-0700,AC0003,Canara,XX2480,P0146,True
FIR-2025-TUM-0709,AC0031,Union,XX5847,P0179,True
FIR-2025-TUM-0709,AC0020,HDFC,XX1153,P0179,True
FIR-2025-BAL-0714,AC0020,HDFC,XX1153,P0007,True
FIR-2025-MYS-0717,AC0060,Axis,XX7038,P0146,True
FIR-2025-MYS-0717,AC0054,SBI,XX3306,P0146,True
FIR-2025-KOL-0719,AC0052,HDFC,XX6549,P0060,True
FIR-2025-KOL-0719,AC0044,Canara,XX2476,P0060,True
FIR-2025-MAN-0726,AC0039,Union,XX5106,P0127,True
FIR-2024-BEL-0729,AC0037,Union,XX6772,P0047,True
FIR-2024-DAK-0731,AC0058,SBI,XX5332,P0189,True
FIR-2024-DAK-0731,AC0028,Axis,XX2747,P0189,True
FIR-2024-RAI-0732,AC0048,Union,XX6994,P0044,True
FIR-2025-DHA-0733,AC0044,Canara,XX2476,P0184,True
FIR-2025-DHA-0733,AC0042,Axis,XX1546,P0184,True
FIR-2025-HAS-0734,AC0021,Axis,XX5712,P0292,True
FIR-2025-HAS-0734,AC0025,Axis,XX5097,P0292,True
FIR-2024-VIJ-0735,AC0059,Union,XX3024,P0013,True
FIR-2024-VIJ-0735,AC0017,Axis,XX3344,P0013,True
FIR-2025-CHI-0738,AC0047,Canara,XX3165,P0317,True
FIR-2024-KAL-0741,AC0032,HDFC,XX1359,P0295,True
FIR-2025-HAS-0744,AC0050,HDFC,XX3695,P0023,True
FIR-2025-DHA-0745,AC0026,Axis,XX5949,P0068,True
FIR-2025-DHA-0745,AC0052,HDFC,XX6549,P0068,True
FIR-2025-UDU-0746,AC0050,HDFC,XX3695,P0063,True
FIR-2024-RAI-0748,AC0003,Canara,XX2480,P0241,True
FIR-2024-RAI-0748,AC0011,Canara,XX5000,P0241,True
FIR-2025-BEN-0751,AC0027,Canara,XX7302,P0013,True
FIR-2025-BEN-0763,AC0021,Axis,XX5712,P0284,True
FIR-2025-CHI-0765,AC0032,HDFC,XX1359,P0041,True
FIR-2025-CHI-0765,AC0045,HDFC,XX6352,P0041,True
FIR-2025-DAK-0767,AC0039,Union,XX5106,P0078,True
FIR-2025-BAG-0769,AC0004,Axis,XX2612,P0005,True
FIR-2025-MYS-0770,AC0058,SBI,XX5332,P0312,True
FIR-2025-DAK-0785,AC0014,Canara,XX3868,P0065,True
FIR-2025-RAI-0789,AC0056,Union,XX6992,P0020,True
FIR-2025-MAN-0790,AC0002,Canara,XX5708,P0033,True
FIR-2025-MAN-0790,AC0029,Canara,XX7248,P0033,True
FIR-2025-MYS-0791,AC0059,Union,XX3024,P0082,True
FIR-2025-UDU-0793,AC0051,HDFC,XX8894,P0178,True
FIR-2024-CHI-0797,AC0036,HDFC,XX4770,P0153,True
FIR-2024-CHI-0797,AC0023,SBI,XX8237,P0153,True
FIR-2025-DAV-0801,AC0049,Union,XX9221,P0014,True
FIR-2025-DAV-0801,AC0030,Union,XX6881,P0014,True
FIR-2025-DHA-0803,AC0037,Union,XX6772,P0004,True
FIR-2025-TUM-0804,AC0012,Union,XX7751,P0091,True
FIR-2025-VIJ-0805,AC0051,HDFC,XX8894,P0266,True
FIR-2025-KOL-0812,AC0031,Union,XX5847,P0252,True
FIR-2024-TUM-0813,AC0032,HDFC,XX1359,P0120,True
FIR-2024-TUM-0813,AC0030,Union,XX6881,P0120,True
FIR-2024-CHI-0817,AC0017,Axis,XX3344,P0039,True
FIR-2025-DAV-0818,AC0049,Union,XX9221,P0068,True
FIR-2025-BAG-0828,AC0028,Axis,XX2747,P0030,True
FIR-2025-BAG-0828,AC0026,Axis,XX5949,P0030,True
FIR-2024-KOL-0829,AC0048,Union,XX6994,P0003,True
FIR-2024-BAG-0831,AC0037,Union,XX6772,P0020,True
FIR-2024-BAG-0831,AC0019,HDFC,XX8529,P0020,True
FIR-2025-UDU-0836,AC0032,HDFC,XX1359,P0111,True
FIR-2025-SHI-0838,AC0003,Canara,XX2480,P0030,True
FIR-2025-SHI-0838,AC0010,HDFC,XX8056,P0030,True
FIR-2024-DAK-0840,AC0032,HDFC,XX1359,P0024,True
FIR-2024-RAI-0842,AC0008,HDFC,XX1919,P0077,True
FIR-2025-DHA-0843,AC0009,HDFC,XX6873,P0040,True
FIR-2024-BAG-0847,AC0050,HDFC,XX3695,P0190,True
FIR-2024-BAG-0847,AC0036,HDFC,XX4770,P0190,True
FIR-2025-BEL-0848,AC0054,SBI,XX3306,P0009,True
FIR-2025-BEL-0848,AC0008,HDFC,XX1919,P0009,True
FIR-2025-DAV-0859,AC0050,HDFC,XX3695,P0174,True
FIR-2025-UDU-0860,AC0049,Union,XX9221,P0111,True
FIR-2025-DAK-0863,AC0022,Union,XX3588,P0188,True
FIR-2024-SHI-0864,AC0017,Axis,XX3344,P0136,True
FIR-2024-HAS-0865,AC0049,Union,XX9221,P0300,True
FIR-2024-HAS-0865,AC0036,HDFC,XX4770,P0300,True
FIR-2025-MAN-0870,AC0059,Union,XX3024,P0010,True
FIR-2025-DHA-0872,AC0047,Canara,XX3165,P0003,True
FIR-2024-RAI-0874,AC0034,SBI,XX1803,P0019,True
FIR-2024-VIJ-0875,AC0026,Axis,XX5949,P0236,True
FIR-2024-BEN-0878,AC0007,SBI,XX1753,P0025,True
FIR-2024-BEN-0878,AC0056,Union,XX6992,P0025,True
FIR-2025-RAI-0881,AC0051,HDFC,XX8894,P0151,True
FIR-2024-MAN-0882,AC0059,Union,XX3024,P0224,True
FIR-2024-MAN-0882,AC0034,SBI,XX1803,P0224,True
FIR-2024-CHI-0884,AC0006,Canara,XX5906,P0121,True
FIR-2024-VIJ-0887,AC0012,Union,XX7751,P0006,True
FIR-2024-VIJ-0887,AC0025,Axis,XX5097,P0006,True
FIR-2025-UDU-0889,AC0045,HDFC,XX6352,P0227,True
FIR-2024-BAL-0890,AC0048,Union,XX6994,P0021,True
FIR-2025-MYS-0894,AC0036,HDFC,XX4770,P0067,True
FIR-2025-MYS-0894,AC0011,Canara,XX5000,P0067,True
FIR-2025-DAK-0903,AC0030,Union,XX6881,P0097,True
FIR-2025-DAK-0903,AC0016,Union,XX4945,P0097,True
FIR-2025-DAK-0908,AC0040,Canara,XX2591,P0293,True
FIR-2024-MAN-0913,AC0052,HDFC,XX6549,P0017,True
FIR-2024-KAL-0914,AC0047,Canara,XX3165,P0101,True
FIR-2024-SHI-0919,AC0032,HDFC,XX1359,P0028,True
FIR-2024-DHA-0920,AC0037,Union,XX6772,P0002,True
FIR-2025-KAL-0927,AC0051,HDFC,XX8894,P0009,True
FIR-2025-KAL-0927,AC0018,Canara,XX8555,P0009,True
