fir_number,person_id,name,role,age,gender,district,is_synthetic
FIR-2024-DHA-0013,P0040,Hridaan Deo,accused,34,male,Belagavi,True
FIR-2024-DHA-0013,P0064,Zara Dube,accused,22,male,Hassan,True
FIR-2024-DHA-0013,V00130,Damini Rajagopal,victim,27,male,Dharwad,True
FIR-2025-KAL-0014,P0049,Vaibhav Raju,accused,49,male,Belagavi,True
FIR-2025-KAL-0014,P0025,Myra Tiwari,accused,42,male,Raichur,True
FIR-2025-KAL-0014,V00140,Divyansh Vohra,victim,62,female,Kalaburagi,True
FIR-2025-KAL-0014,V00141,Divyansh Lall,victim,65,male,Kalaburagi,True
FIR-2024-DAK-0015,P0057,Damini Singh,accused,52,male,Shivamogga,True
FIR-2024-DAK-0015,P0045,Divij Shroff,accused,24,male,Kolar,True
FIR-2024-DAK-0015,P0033,Piya Gaba,accused,53,male,Dharwad,True
FIR-2024-DAK-0015,V00150,Abram Sen,victim,64,male,Dakshina Kannada,True
FIR-2025-BEL-0016,P0078,Khushi Choudhary,accused,46,male,Mysuru,True
FIR-2025-BEL-0016,V00160,Yuvraj  Virk,victim,41,male,Belagavi,True
FIR-2024-KAL-0017,P0056,Saira Vora,accused,56,female,Vijayapur,True
FIR-2024-KAL-0017,P0068,Gokul Sahni,accused,33,female,Dharwad,True
FIR-2024-KAL-0017,V00170,Dhanuk Keer,victim,20,female,Kalaburagi,True
FIR-2024-KAL-0017,V00171,Shayak Ratta,victim,71,male,Kalaburagi,True
FIR-2024-BAG-0018,P0055,Indranil Karan,accused,28,male,Kolar,True
FIR-2024-BAG-0018,P0031,Ishaan Kashyap,accused,59,female,Kalaburagi,True
FIR-2024-BAG-0018,P0007,Jhanvi Chaudhary,accused,30,female,Ballari,True
FIR-2024-BAG-0018,V00180,Nehmat Baria,victim,17,female,Bagalkot,True
FIR-2024-BAG-0018,V00181,Pari Varughese,victim,26,female,Bagalkot,True
FIR-2024-UDU-0019,P0190,Yashvi Yohannan,accused,47,male,Mysuru,True
FIR-2024-UDU-0019,V00190,Samar Rattan,victim,20,male,Udupi,True
FIR-2025-VIJ-0020,P0226,Anvi Aggarwal,accused,53,male,Chickballapura,True
FIR-2025-VIJ-0020,V00200,Hrishita Badami,victim,32,male,Vijayapur,True
FIR-2025-TUM-0021,P0060,Indrans Grover,accused,33,male,Tumakuru,True
FIR-2025-TUM-0021,P0072,Riya Dugal,accused,21,male,Mysuru,True
FIR-2025-TUM-0021,P0036,Priyansh Bali,accused,49,male,Mysuru,True
FIR-2025-TUM-0021,V00210,Miraan Raval,victim,25,female,Tumakuru,True
FIR-2025-TUM-0021,V00211,Manikya Shenoy,victim,20,female,Tumakuru,True
FIR-2025-SHI-0022,P0068,Gokul Sahni,accused,33,female,Dharwad,True
FIR-2025-SHI-0022,P0008,Madhup Kapur,accused,46,male,Bengaluru City,True
FIR-2025-SHI-0022,P0056,Saira Vora,accused,56,female,Vijayapur,True
FIR-2025-SHI-0022,V00220,Adira Bawa,victim,69,female,Shivamogga,True
FIR-2025-SHI-0022,V00221,Ahana  Chacko,victim,20,male,Shivamogga,True
FIR-2024-BAG-0023,P0065,Bhavin Dara,accused,22,male,Davanagere,True
FIR-2024-BAG-0023,V00230,Aniruddh Bajaj,victim,22,female,Bagalkot,True
FIR-2024-BAG-0023,V00231,Yashvi Bala,victim,61,male,Bagalkot,True
FIR-2025-DAK-0024,P0316,Jiya Rao,accused,44,male,Tumakuru,True
FIR-2025-DAK-0024,V00240,Taimur Grover,victim,39,female,Dakshina Kannada,True
FIR-2025-DHA-0025,P0213,Navya Devi,accused,27,female,Dakshina Kannada,True
FIR-2025-DHA-0025,V00250,Hunar Das,victim,37,male,Dharwad,True
FIR-2025-UDU-0026,P0302,Ehsaan Viswanathan,accused,50,male,Bengaluru City,True
FIR-2025-UDU-0026,V00260,Jivika Sanghvi,victim,37,male,Udupi,True
FIR-2025-MAN-0027,P0017,Samiha Karpe,accused,20,male,Shivamogga,True
FIR-2025-MAN-0027,V00270,Jayan Chahal,victim,35,female,Mandya,True
FIR-2025-KOL-0028,P0024,Vaibhav Dewan,accused,33,male,Bagalkot,True
FIR-2025-KOL-0028,P0036,Priyansh Bali,accused,49,male,Mysuru,True
FIR-2025-KOL-0028,P0072,Riya Dugal,accused,21,male,Mysuru,True
FIR-2025-KOL-0028,V00280,Manjari Virk,victim,25,male,Kolar,True
FIR-2025-HAS-0029,P0021,Azad Sahota,accused,41,male,Vijayapur,True
FIR-2025-HAS-0029,V00290,Miraya Sanghvi,victim,62,female,Hassan,True
FIR-2025-MAN-0030,P0037,Jiya Vora,accused,25,male,Dakshina Kannada,True
FIR-2025-MAN-0030,V00300,Charvi Manne,victim,30,male,Mandya,True
FIR-2025-MAN-0030,V00301,Mehul Kashyap,victim,35,female,Mandya,True
FIR-2025-SHI-0031,P0303,Kaira Dhar,accused,36,male,Chickballapura,True
FIR-2025-SHI-0031,V00310,Amira Datta,victim,71,female,Shivamogga,True
FIR-2025-CHI-0032,P0173,Onkar Bains,accused,33,male,Hassan,True
FIR-2025-CHI-0032,V00320,Zaina Kaul,victim,34,male,Chickballapura,True
FIR-2024-BAG-0033,P0293,Kartik Chokshi,accused,37,male,Raichur,True
FIR-2024-BAG-0033,V00330,Parinaaz Mahajan,victim,72,female,Bagalkot,True
FIR-2024-BAG-0033,V00331,Devansh Kant,victim,75,male,Bagalkot,True
FIR-2024-UDU-0034,P0029,Mahika Ravi,accused,31,male,Vijayapur,True
FIR-2024-UDU-0034,P0041,Nishith Sharma,accused,52,male,Hassan,True
FIR-2024-UDU-0034,V00340,Khushi Doctor,victim,24,male,Udupi,True
FIR-2025-KAL-0035,P0272,Dhruv Dewan,accused,23,male,Dharwad,True
FIR-2025-KAL-0035,P0128,Manjari Swamy,accused,40,male,Ballari,True
FIR-2025-KAL-0035,V00350,Prisha Dass,victim,51,female,Kalaburagi,True
FIR-2024-SHI-0036,P0009,Zoya Virk,accused,28,female,Hassan,True
FIR-2024-SHI-0036,V00360,Romil Chaudhary,victim,54,male,Shivamogga,True
FIR-2024-SHI-0036,V00361,Anya Bera,victim,56,male,Shivamogga,True
FIR-2024-DHA-0037,P0101,Anya Chhabra,accused,34,male,Mandya,True
FIR-2024-DHA-0037,P0245,Vanya Sachdev,accused,48,female,Bagalkot,True
FIR-2024-DHA-0037,V00370,Vaibhav Mangal,victim,49,female,Dharwad,True
FIR-2025-BEN-0038,P0031,Ishaan Kashyap,accused,59,female,Kalaburagi,True
FIR-2025-BEN-0038,V00380,Kashvi Divan,victim,65,female,Bengaluru City,True
FIR-2024-HAS-0039,P0311,Ivana Singhal,accused,60,male,Chickballapura,True
FIR-2024-HAS-0039,V00390,Akarsh Thakkar,victim,67,male,Hassan,True
FIR-2025-VIJ-0040,P0041,Nishith Sharma,accused,52,male,Hassan,True
FIR-2025-VIJ-0040,P0065,Bhavin Dara,accused,22,male,Davanagere,True
FIR-2025-VIJ-0040,P0053,Tiya Rege,accused,52,male,Kalaburagi,True
FIR-2025-VIJ-0040,V00400,Raghav Agrawal,victim,18,male,Vijayapur,True
FIR-2025-VIJ-0040,V00401,Mahika Sharma,victim,34,female,Vijayapur,True
FIR-2025-HAS-0041,P0056,Saira Vora,accused,56,female,Vijayapur,True
FIR-2025-HAS-0041,P0044,Madhup Biswas,accused,34,male,Kolar,True
FIR-2025-HAS-0041,P0032,Purab Reddy,accused,34,male,Ballari,True
FIR-2025-HAS-0041,V00410,Reyansh Soni,victim,47,female,Hassan,True
FIR-2025-TUM-0042,P0088,Sumer Kakar,accused,21,male,Chickballapura,True
FIR-2025-TUM-0042,V00420,Mahika Suresh,victim,36,female,Tumakuru,True
FIR-2024-BAG-0043,P0254,Sahil Bhagat,accused,37,female,Shivamogga,True
FIR-2024-BAG-0043,V00430,Madhup Ravi,victim,33,male,Bagalkot,True
FIR-2024-BAG-0043,V00431,Miraya Dass,victim,20,female,Bagalkot,True
FIR-2024-BAG-0044,P0047,Vritika Sangha,accused,41,male,Raichur,True
FIR-2024-BAG-0044,V00440,Mishti Bava,victim,54,male,Bagalkot,True
FIR-2025-MAN-0045,P0080,Manikya Bandi,accused,33,male,Dharwad,True
FIR-2025-MAN-0045,V00450,Sahil Subramaniam,victim,31,male,Mandya,True
FIR-2025-MAN-0045,V00451,Arhaan Mann,victim,17,male,Mandya,True
FIR-2024-DAV-0046,P0319,Prerak Sahota,accused,39,female,Hassan,True
FIR-2024-DAV-0046,V00460,Sana Bhatti,victim,28,male,Davanagere,True
FIR-2024-DAV-0046,V00461,Ritvik Gade,victim,24,male,Davanagere,True
FIR-2024-BAG-0047,P0150,Vanya Mammen,accused,55,male,Bagalkot,True
FIR-2024-BAG-0047,V00470,Jayant Chaudhry,victim,73,female,Bagalkot,True
FIR-2024-BAG-0047,V00471,Vedika Madan,victim,70,male,Bagalkot,True
FIR-2025-VIJ-0048,P0004,Kiara Kakar,accused,23,female,Mysuru,True
FIR-2025-VIJ-0048,P0052,Pihu Wali,accused,23,female,Tumakuru,True
FIR-2025-VIJ-0048,P0028,Rati Sanghvi,accused,43,male,Tumakuru,True
FIR-2025-VIJ-0048,V00480,Eva Krishna,victim,20,female,Vijayapur,True
FIR-2025-DHA-0049,P0017,Samiha Karpe,accused,20,male,Shivamogga,True
FIR-2025-DHA-0049,P0053,Tiya Rege,accused,52,male,Kalaburagi,True
FIR-2025-DHA-0049,V00490,Ivan Dave,victim,59,female,Dharwad,True
FIR-2025-DHA-0049,V00491,Zara Divan,victim,24,male,Dharwad,True
FIR-2024-BEL-0050,P0042,Siya Master,accused,25,male,Dharwad,True
FIR-2024-BEL-0050,V00500,Zaina Bhandari,victim,49,female,Belagavi,True
FIR-2024-BEL-0050,V00501,Dhanuk Bobal,victim,70,male,Belagavi,True
FIR-2024-RAI-0051,P0066,Dharmajan Setty,accused,60,female,Vijayapur,True
FIR-2024-RAI-0051,P0018,Uthkarsh Baral,accused,23,male,Belagavi,True
FIR-2024-RAI-0051,V00510,Parinaaz Sengupta,victim,69,male,Raichur,True
FIR-2024-RAI-0051,V00511,Zaina Mallick,victim,68,male,Raichur,True
FIR-2025-VIJ-0052,P0064,Zara Dube,accused,22,male,Hassan,True
FIR-2025-VIJ-0052,V00520,Divij Subramanian,victim,57,female,Vijayapur,True
FIR-2025-VIJ-0052,V00521,Abram Deo,victim,46,male,Vijayapur,True
FIR-2024-BAG-0053,P0057,Damini Singh,accused,52,male,Shivamogga,True
FIR-2024-BAG-0053,P0033,Piya Gaba,accused,53,male,Dharwad,True
FIR-2024-BAG-0053,V00530,Amani Gour,victim,36,female,Bagalkot,True
FIR-2024-BEL-0054,P0013,Tarini Ganguly,accused,40,male,Mysuru,True
FIR-2024-BEL-0054,P0061,Hrishita Sood,accused,39,male,Raichur,True
FIR-2024-BEL-0054,P0049,Vaibhav Raju,accused,49,male,Belagavi,True
FIR-2024-BEL-0054,V00540,Keya Halder,victim,71,male,Belagavi,True
FIR-2025-SHI-0055,P0067,Darshit Sidhu,accused,52,male,Chickballapura,True
FIR-2025-SHI-0055,V00550,Emir Sandal,victim,53,female,Shivamogga,True
FIR-2025-CHI-0056,P0056,Saira Vora,accused,56,female,Vijayapur,True
FIR-2025-CHI-0056,V00560,Anaya Arora,victim,64,female,Chickballapura,True
FIR-2025-CHI-0056,V00561,Manjari Choudhry,victim,39,male,Chickballapura,True
FIR-2024-RAI-0057,P0010,Tara Swaminathan,accused,35,male,Vijayapur,True
FIR-2024-RAI-0057,P0070,Eva Viswanathan,accused,60,female,Mandya,True
FIR-2024-RAI-0057,P0022,Trisha Dhillon,accused,60,male,Tumakuru,True
FIR-2024-RAI-0057,V00570,Myra Tata,victim,22,female,Raichur,True
FIR-2025-KAL-0058,P0065,Bhavin Dara,accused,22,male,Davanagere,True
FIR-2025-KAL-0058,P0029,Mahika Ravi,accused,31,male,Vijayapur,True
FIR-2025-KAL-0058,V00580,Rati Dora,victim,49,female,Kalaburagi,True
FIR-2025-KAL-0058,V00581,Farhan Boase,victim,25,male,Kalaburagi,True
FIR-2025-UDU-0059,P0171,Adira Raman,accused,49,male,Davanagere,True
FIR-2025-UDU-0059,V00590,Armaan Doshi,victim,39,female,Udupi,True
FIR-2025-CHI-0060,P0178,Saira Yogi,accused,52,female,Dharwad,True
FIR-2025-CHI-0060,V00600,Farhan Bava,victim,49,female,Chickballapura,True
FIR-2025-BAL-0061,P0025,Myra Tiwari,accused,42,male,Raichur,True
FIR-2025-BAL-0061,P0013,Tarini Ganguly,accused,40,male,Mysuru,True
FIR-2025-BAL-0061,P0049,Vaibhav Raju,accused,49,male,Belagavi,True
FIR-2025-BAL-0061,V00610,Heer Bir,victim,42,female,Ballari,True
FIR-2025-KAL-0062,P0062,Kismat Edwin,accused,32,male,Bengaluru City,True
FIR-2025-KAL-0062,P0038,Lakshit Sagar,accused,45,male,Udupi,True
FIR-2025-KAL-0062,V00620,Amani Goyal,victim,50,female,Kalaburagi,True
FIR-2025-KAL-0062,V00621,Khushi Sharaf,victim,59,female,Kalaburagi,True
FIR-2025-BAL-0063,P0291,Mehul Bhasin,accused,46,female,Belagavi,True
FIR-2025-BAL-0063,V00630,Zeeshan Sagar,victim,61,male,Ballari,True
FIR-2025-BAL-0063,V00631,Ayesha Randhawa,victim,60,female,Ballari,True
FIR-2025-DAV-0064,P0267,Rhea Bose,accused,21,male,Shivamogga,True
FIR-2025-DAV-0064,V00640,Ranbir Babu,victim,65,male,Davanagere,True
FIR-2025-DAV-0064,V00641,Madhav Kapadia,victim,34,male,Davanagere,True
FIR-2025-DAV-0065,P0286,Ryan Saini,accused,18,female,Dharwad,True
FIR-2025-DAV-0065,V00650,Miraan Varma,victim,22,male,Davanagere,True
FIR-2024-BAL-0066,P0157,Priyansh Buch,accused,20,male,Chickballapura,True
FIR-2024-BAL-0066,P0320,Indranil Dar,accused,58,female,Raichur,True
FIR-2024-BAL-0066,V00660,Divyansh Sankar,victim,42,female,Ballari,True
FIR-2025-VIJ-0067,P0273,Nirvaan Sheth,accused,38,male,Bengaluru City,True
FIR-2025-VIJ-0067,P0219,Veer Saran,accused,54,female,Hassan,True
FIR-2025-VIJ-0067,V00670,Inaaya  Yohannan,victim,50,male,Vijayapur,True
FIR-2024-MYS-0068,P0037,Jiya Vora,accused,25,male,Dakshina Kannada,True
FIR-2024-MYS-0068,V00680,Biju Issac,victim,72,male,Mysuru,True
FIR-2024-MYS-0068,V00681,Kanav Bhat,victim,70,female,Mysuru,True
FIR-2024-BEL-0069,P0024,Vaibhav Dewan,accused,33,male,Bagalkot,True
FIR-2024-BEL-0069,V00690,Divij Saini,victim,52,male,Belagavi,True
FIR-2024-BEL-0069,V00691,Nayantara Reddy,victim,27,female,Belagavi,True
FIR-2025-HAS-0070,P0024,Vaibhav Dewan,accused,33,male,Bagalkot,True
FIR-2025-HAS-0070,P0036,Priyansh Bali,accused,49,male,Mysuru,True
FIR-2025-HAS-0070,P0012,Ranbir Brahmbhatt,accused,42,male,Mandya,True
FIR-2025-HAS-0070,V00700,Badal Srivastava,victim,40,male,Hassan,True
FIR-2025-HAS-0070,V00701,Nirvaan Bhatnagar,victim,44,female,Hassan,True
FIR-2024-MAN-0071,P0052,Pihu Wali,accused,23,female,Tumakuru,True
FIR-2024-MAN-0071,P0004,Kiara Kakar,accused,23,female,Mysuru,True
FIR-2024-MAN-0071,P0028,Rati Sanghvi,accused,43,male,Tumakuru,True
FIR-2024-MAN-0071,V00710,Darshit Thakkar,victim,55,male,Mandya,True
FIR-2024-MAN-0071,V00711,Khushi Chokshi,victim,30,male,Mandya,True
FIR-2024-BAG-0072,P0196,Anay Bajaj,accused,21,male,Ballari,True
FIR-2024-BAG-0072,V00720,Shalv Soman,victim,64,male,Bagalkot,True
FIR-2025-MAN-0073,P0008,Madhup Kapur,accused,46,male,Bengaluru City,True
FIR-2025-MAN-0073,P0068,Gokul Sahni,accused,33,female,Dharwad,True
FIR-2025-MAN-0073,V00730,Vedika Yohannan,victim,26,female,Mandya,True
FIR-2025-KOL-0074,P0017,Samiha Karpe,accused,20,male,Shivamogga,True
FIR-2025-KOL-0074,P0065,Bhavin Dara,accused,22,male,Davanagere,True
FIR-2025-KOL-0074,V00740,Raghav Varughese,victim,59,female,Kolar,True
FIR-2025-KOL-0074,V00741,Hansh Madan,victim,62,male,Kolar,True
FIR-2024-BEN-0075,P0055,Indranil Karan,accused,28,male,Kolar,True
FIR-2024-BEN-0075,V00750,Yasmin Chahal,victim,75,male,Bengaluru City,True
FIR-2024-KAL-0076,P0058,Dishani Bera,accused,43,male,Bagalkot,True
FIR-2024-KAL-0076,V00760,Nitara Verma,victim,40,male,Kalaburagi,True
FIR-2024-KAL-0076,V00761,Hansh Amble,victim,59,male,Kalaburagi,True
FIR-2025-KOL-0077,P0236,Himmat Verma,accused,52,male,Vijayapur,True
FIR-2025-KOL-0077,V00770,Vritika Subramaniam,victim,45,female,Kolar,True
FIR-2025-KOL-0077,V00771,Khushi Edwin,victim,50,female,Kolar,True
FIR-2024-KAL-0078,P0005,Aniruddh Batra,accused,19,male,Vijayapur,True
FIR-2024-KAL-0078,V00780,Jayant Deo,victim,31,male,Kalaburagi,True
FIR-2025-MYS-0079,P0057,Damini Singh,accused,52,male,Shivamogga,True
FIR-2025-MYS-0079,P0021,Azad Sahota,accused,41,male,Vijayapur,True
FIR-2025-MYS-0079,V00790,Gokul Shanker,victim,30,female,Mysuru,True
FIR-2025-MYS-0079,V00791,Eshani Bhandari,victim,52,female,Mysuru,True
FIR-2024-KAL-0080,P0008,Madhup Kapur,accused,46,male,Bengaluru City,True
FIR-2024-KAL-0080,V00800,Anika Kapur,victim,56,female,Kalaburagi,True
FIR-2025-MYS-0081,P0049,Vaibhav Raju,accused,49,male,Belagavi,True
FIR-2025-MYS-0081,P0037,Jiya Vora,accused,25,male,Dakshina Kannada,True
FIR-2025-MYS-0081,P0013,Tarini Ganguly,accused,40,male,Mysuru,True
FIR-2025-MYS-0081,V00810,Drishya Rajagopalan,victim,40,male,Mysuru,True
FIR-2025-MYS-0081,V00811,Alisha Krishnamurthy,victim,64,female,Mysuru,True
FIR-2024-KAL-0082,P0053,Tiya Rege,accused,52,male,Kalaburagi,True
FIR-2024-KAL-0082,P0041,Nishith Sharma,accused,52,male,Hassan,True
FIR-2024-KAL-0082,V00820,Mannat Bains,victim,32,male,Kalaburagi,True
FIR-2025-BAG-0083,P0007,Jhanvi Chaudhary,accused,30,female,Ballari,True
FIR-2025-BAG-0083,P0019,Mishti Ranganathan,accused,42,male,Bagalkot,True
FIR-2025-BAG-0083,V00830,Amira Rout,victim,67,male,Bagalkot,True
FIR-2024-VIJ-0084,P0191,Nirvi Basak,accused,34,female,Hassan,True
FIR-2024-VIJ-0084,V00840,Biju Khatri,victim,60,male,Vijayapur,True
FIR-2024-SHI-0085,P0046,Faiyaz Bose,accused,56,male,Kalaburagi,True
FIR-2024-SHI-0085,P0058,Dishani Bera,accused,43,male,Bagalkot,True
FIR-2024-SHI-0085,P0010,Tara Swaminathan,accused,35,male,Vijayapur,True
FIR-2024-SHI-0085,V00850,Aaryahi Sankar,victim,64,female,Shivamogga,True
FIR-2024-SHI-0085,V00851,Ayesha Sawhney,victim,74,male,Shivamogga,True
FIR-2024-BAL-0086,P0038,Lakshit Sagar,accused,45,male,Udupi,True
FIR-2024-BAL-0086,P0050,Eva Dass,accused,41,male,Ballari,True
FIR-2024-BAL-0086,V00860,Devansh Yogi,victim,47,female,Ballari,True
FIR-2025-CHI-0087,P0022,Trisha Dhillon,accused,60,male,Tumakuru,True
FIR-2025-CHI-0087,V00870,Samarth Ramanathan,victim,27,male,Chickballapura,True
FIR-2025-CHI-0087,V00871,Chirag Bhatnagar,victim,49,male,Chickballapura,True
FIR-2024-DHA-0088,P0009,Zoya Virk,accused,28,female,Hassan,True
FIR-2024-DHA-0088,P0069,Ira Butala,accused,30,male,Belagavi,True
FIR-2024-DHA-0088,V00880,Misha Ravel,victim,39,male,Dharwad,True
FIR-2024-DHA-0088,V00881,Vaibhav Raju,victim,55,female,Dharwad,True
FIR-2024-BEN-0089,P0003,Sara Behl,accused,26,male,Raichur,True
FIR-2024-BEN-0089,V00890,Amani Krishnan,victim,67,male,Bengaluru City,True
FIR-2024-BEN-0089,V00891,Divyansh Sundaram,victim,22,male,Bengaluru City,True
FIR-2024-UDU-0090,P0059,Navya Kulkarni,accused,51,female,Belagavi,True
FIR-2024-UDU-0090,P0035,Zara Dugar,accused,32,male,Kolar,True
FIR-2024-UDU-0090,V00900,Neysa Sachdev,victim,57,male,Udupi,True
FIR-2025-RAI-0091,P0168,Jayesh Mannan,accused,46,male,Chickballapura,True
FIR-2025-RAI-0091,P0290,Purab Dua,accused,53,male,Shivamogga,True
FIR-2025-RAI-0091,V00910,Adah Kara,victim,57,female,Raichur,True
FIR-2025-RAI-0091,V00911,Zain Gara,victim,52,male,Raichur,True
FIR-2024-BAL-0092,P0263,Dishani Sabharwal,accused,22,male,Davanagere,True
FIR-2024-BAL-0092,V00920,Yakshit Johal,victim,75,male,Ballari,True
FIR-2025-MYS-0093,P0003,Sara Behl,accused,26,male,Raichur,True
FIR-2025-MYS-0093,P0051,Pihu Sen,accused,21,male,Tumakuru,True
FIR-2025-MYS-0093,V00930,Saksham Kala,victim,35,male,Mysuru,True
FIR-2024-UDU-0094,P0213,Navya Devi,accused,27,female,Dakshina Kannada,True
FIR-2024-UDU-0094,V00940,Nitya Datta,victim,48,female,Udupi,True
FIR-2024-DHA-0095,P0118,Pranay Chaudry,accused,26,male,Shivamogga,True
FIR-2024-DHA-0095,V00950,Indrans Sankar,victim,65,female,Dharwad,True
FIR-2024-DHA-0095,V00951,Darshit Bath,victim,17,female,Dharwad,True
FIR-2025-BAL-0096,P0056,Saira Vora,accused,56,female,Vijayapur,True
FIR-2025-BAL-0096,V00960,Divij Kalita,victim,21,female,Ballari,True
FIR-2025-BAL-0096,V00961,Shanaya Shankar,victim,67,male,Ballari,True
FIR-2024-UDU-0097,P0047,Vritika Sangha,accused,41,male,Raichur,True
FIR-2024-UDU-0097,P0059,Navya Kulkarni,accused,51,female,Belagavi,True
FIR-2024-UDU-0097,P0035,Zara Dugar,accused,32,male,Kolar,True
FIR-2024-UDU-0097,V00970,Zoya Bhattacharyya,victim,22,male,Udupi,True
FIR-2024-UDU-0097,V00971,Khushi Mand,victim,21,male,Udupi,True
FIR-2025-RAI-0098,P0046,Faiyaz Bose,accused,56,male,Kalaburagi,True
FIR-2025-RAI-0098,P0058,Dishani Bera,accused,43,male,Bagalkot,True
FIR-2025-RAI-0098,P0010,Tara Swaminathan,accused,35,male,Vijayapur,True
FIR-2025-RAI-0098,V00980,Oorja Bhat,victim,42,female,Raichur,True
FIR-2025-RAI-0098,V00981,Sumer Vohra,victim,65,male,Raichur,True
FIR-2024-UDU-0099,P0009,Zoya Virk,accused,28,female,Hassan,True
FIR-2024-UDU-0099,P0045,Divij Shroff,accused,24,male,Kolar,True
FIR-2024-UDU-0099,P0057,Damini Singh,accused,52,male,Shivamogga,True
FIR-2024-UDU-0099,V00990,Saira Bal,victim,39,female,Udupi,True
FIR-2025-CHI-0100,P0039,Vivaan Wagle,accused,42,female,Kolar,True
FIR-2025-CHI-0100,V01000,Kismat Dugal,victim,69,female,Chickballapura,True
FIR-2025-CHI-0100,V01001,Ehsaan Mani,victim,67,female,Chickballapura,True
FIR-2024-DHA-0101,P0062,Kismat Edwin,accused,32,male,Bengaluru City,True
FIR-2024-DHA-0101,P0026,Ishaan Goyal,accused,32,male,Mysuru,True
FIR-2024-DHA-0101,P0050,Eva Dass,accused,41,male,Ballari,True
FIR-2024-DHA-0101,V01010,Indrans Saha,victim,52,male,Dharwad,True
FIR-2024-DHA-0101,V01011,Mamooty Vaidya,victim,36,female,Dharwad,True
FIR-2025-BEL-0102,P0024,Vaibhav Dewan,accused,33,male,Bagalkot,True
FIR-2025-BEL-0102,V01020,Stuvan Uppal,victim,62,female,Belagavi,True
FIR-2025-TUM-0103,P0133,Purab Dhaliwal,accused,39,male,Belagavi,True
FIR-2025-TUM-0103,V01030,Farhan Singh,victim,61,female,Tumakuru,True
FIR-2024-BAG-0104,P0068,Gokul Sahni,accused,33,female,Dharwad,True
FIR-2024-BAG-0104,V01040,Kaira Chowdhury,victim,50,male,Bagalkot,True
FIR-2024-BAG-0104,V01041,Jhanvi Sinha,victim,66,female,Bagalkot,True
FIR-2025-MAN-0105,P0097,Ahana  Swamy,accused,60,male,Bagalkot,True
